id,name,category,website,city,address
11156,"Cantina Dos Segundos",restaurant,http://www.cantinadossegundos.com/,Philadelphia,
11157,"Tequilas Casa Mexicana",restaurant,http://www.tequilasphilly.com/,Philadelphia,
11158,"El Mictlan Restaurant",restaurant,https://elmictlanrestaurantpa.com/,Philadelphia,
11159,"Tamalex Bar & Grill",restaurant,http://www.tamalexbarandgrill.com/,Philadelphia,
11160,"La Jefa Café",restaurant,https://lajefaphilly.com/,Philadelphia,
11161,"El Mezcal Cantina",restaurant,http://elmezcalcantina.us/,Philadelphia,
11162,"Mission Taqueria",restaurant,http://www.missiontaqueria.com/,Philadelphia,
11163,"Jose Pistola's",restaurant,https://www.pistolaslife.com/,Philadelphia,
11164,"Don Barriga",restaurant,http://donbarriga.com/,Philadelphia,
11165,"Cilantro Mediterranean Cuisine",restaurant,https://www.cilantromediterraneancuisine.com/,Philadelphia,
11166,Kanella,restaurant,http://kanellarestaurant.com/,Philadelphia,
11167,"Spice Finch",restaurant,http://www.spicefinchphilly.com/,Philadelphia,
11168,"Suraya Restaurant",restaurant,http://surayaphilly.com/,Philadelphia,
11169,Barbuzzo,restaurant,http://barbuzzo.com/,Philadelphia,
11170,"Paprica Grill",restaurant,https://papricagrill.com/,Philadelphia,
11171,"Alyan's Middle Eastern & Mediterranean Restaurant",restaurant,"",Philadelphia,
11172,Malooga,restaurant,http://maloogacatering.com/,Philadelphia,
11173,"Casablanca Mediterranean Grill",restaurant,http://www.casablanca-grill.com/,Philadelphia,
11174,Mona,restaurant,https://monaphilly.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business,Philadelphia,
11175,Marrakesh,restaurant,https://marrakesh-philadelphia.club/,Philadelphia,
11176,Bastia,restaurant,https://www.bastiafishtown.com/,Philadelphia,
11177,Dizengoff,restaurant,http://www.dizengoffphilly.com/,Philadelphia,
11178,Emmett,restaurant,https://www.emmettphilly.com/,Philadelphia,
11179,Olea,restaurant,http://oleaphilly.com/,Philadelphia,
11180,"Apricot Stone BYOB",restaurant,http://www.apricotstonephilly.com/,Philadelphia,
11181,"Zorba's Tavern",restaurant,http://www.zorbastavern.com/,Philadelphia,
11182,"Almyra Restaurant",restaurant,https://www.almyrarestaurant.com/,Philadelphia,
11183,"Sahara Grill",restaurant,https://www.saharagrillphiladelphia.com/,Philadelphia,
11184,"Kamals Middle Eastern Cuisine",restaurant,https://www.kamalsmiddleeasterncuisine.com/,Philadelphia,
11185,"Bon Kif Grill",restaurant,http://www.bonkifgrill.com/,Philadelphia,
11186,"Cafe La Maude",restaurant,http://www.cafelamaude.com/,Philadelphia,
11187,"Laser Wolf",restaurant,http://laserwolfphilly.com/,Philadelphia,
11188,"Sang Kee Peking Duck House",restaurant,http://www.sangkeechinatown.com/,Philadelphia,
11189,"EMei 峨嵋",restaurant,https://www.emeiphilly.com/,Philadelphia,
11190,"Nom Wah Philadelphia",restaurant,http://nomwah.com/,Philadelphia,
11191,"Dim Sum Garden",restaurant,http://www.dimsumgardenphilly.com/,Philadelphia,
11192,"Ji Bei Chuan Philly",restaurant,https://www.jbcphilly.com/,Philadelphia,
11193,"Dim Sum House By Jane G's - Rittenhouse",restaurant,http://dimsum.house/,Philadelphia,
11194,"Nan Zhou Hand Drawn Noodle House",restaurant,http://www.nanzhounoodle.com/,Philadelphia,
11195,"Ting Wong",restaurant,http://www.tingwongphilly.com/?utm_source=google&utm_medium=search,Philadelphia,
11196,"Han Dynasty - Old City",restaurant,http://www.handynasty.net/oldcity,Philadelphia,
11197,Buddakan,restaurant,https://buddakan.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
11198,"China House No. 5",restaurant,"",Philadelphia,
11199,"Han Dynasty University City",restaurant,http://www.handynasty.net/,Philadelphia,
11200,"Mana Modern Chinese",restaurant,"",Philadelphia,
11201,"Grand Palace Restaurant",restaurant,http://www.grandpalacechineserestaurant.com/,Philadelphia,
11202,"Ho Sai Gai Restaurant",restaurant,"",Philadelphia,
11203,"DanDan Rittenhouse",restaurant,http://dandanrestaurant.com/,Philadelphia,
11204,"China Gourmet",restaurant,http://www.chinagourmetphillypa.com/,Philadelphia,
11205,Sampan,restaurant,https://www.sampanphilly.com/,Philadelphia,
11206,"Lee How Fook",restaurant,http://leehowfook.com/,Philadelphia,
11207,"Bai Wei",restaurant,http://baiwei1038.com/,Philadelphia,
11208,Kalaya,restaurant,http://kalayaphilly.com/,Philadelphia,
11209,"Chatayee Thai",restaurant,https://chatayeethai.com/,Philadelphia,
11210,"JJ Thai Cuisine",restaurant,http://www.jjthaicuisine.com/,Philadelphia,
11211,Dara,restaurant,http://www.daraphilly.com/,Philadelphia,
